Time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM,REN_COMM,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS,Year
2039-05-31,262733.483641635,97088.4337732927,7149.5586593417,0,8332.33057658149,2209.10625403858,2705.9511606008,57378.3807497134,0,6.24691790552766,0,0,0,0,0,22011.1112730829,259295061.814661,2022
2039-06-30,261567.363086039,96784.0486039375,7178.94755024199,0,8342.8509717733,5425.35629543342,2684.43097942542,57597.8426914972,0,6.18800064182961,0,0,0,0,0,21161.5295546548,257713816.745908,2022
2039-07-31,261699.58310426,96914.7054205406,7242.31075117254,0,8353.58711404986,14013.7326353051,2678.31670173774,57863.5854061489,0,6.12967195255014,0,0,0,0,0,20322.6217493983,256614284.33286,2022
2039-08-31,261603.666558778,97404.2433169621,7255.5552618155,0,8364.52558400564,5898.75095283134,2670.9160851573,58139.8243190055,0,6.07192558806328,0,0,0,0,0,21544.369936716,255381198.609376,2022
2039-09-30,262737.350346265,98051.1766896648,7274.04373000425,0,8375.68147266201,19536.977992864,2664.36452453503,58450.1515884361,0,6.0147553690284,0,0,0,0,0,19606.6640515556,254739097.575838,2022
2039-10-31,262488.279719248,97797.4645689442,7369.46730737354,0,8387.02348315055,14734.0182610346,2660.68925421083,58776.4235772028,0,5.95815518556057,0,0,0,0,0,20481.5208219919,253500721.515958,2022
2039-11-30,261586.814009514,98508.2051007072,7530.04240280651,0,8338.31260511295,12442.9252759383,2666.95307592329,58387.8292083169,0,5.90211899641111,0,0,0,0,0,20809.6596111764,252625240.978385,2022
2039-12-31,262313.045599623,99061.5748830935,6751.04631561468,0,8301.47950986457,23282.7022177924,2822.27744263122,58769.0762071333,0,4.30566168371139,0,0,0,0,0,18850.2619735704,251822496.973566,2022
2040-01-31,262881.800912647,99835.3413115755,6776.81808296854,0,8313.34806576731,17028.2483451125,2799.64495595449,59109.3845102629,0,4.27107363958748,0,0,0,0,0,20052.7394672915,251224433.932127,2022
2040-02-29,261479.903335222,99459.4929701542,6742.95237539887,0,8302.36915468868,5544.59197414284,2777.1868487516,59375.0059515351,0,4.23676344655458,0,0,0,0,0,21677.1901324823,249699277.22861,2022
2040-03-31,261352.376793512,99136.135122355,6773.01027086591,0,8286.77798007845,14657.9008048642,2773.10979878183,59704.5277373983,0,4.20272887259204,0,0,0,0,0,20035.6779213655,248626034.600615,2022
2040-04-30,260964.053816703,99065.1137696032,6818.82182704651,0,8264.96693771199,12151.1835567024,2768.31623509677,60031.3136117894,0,0.0,0,0,0,0,0,20572.4914657526,247655547.397794,2022
2040-05-31,259747.298739648,98718.1542457554,6759.31041667523,0,8253.97535194088,1805.46539291749,2746.07478895903,60300.9575250074,0,0.0,0,0,0,0,0,22135.0529004217,245993449.163268,2022
2040-06-30,258575.406379857,98355.1417546181,6795.91281483517,0,8242.98753779835,4858.57467469088,2724.01711030651,60551.6948560656,0,0.0,0,0,0,0,0,21281.5849089972,244484760.303647,2022
2040-07-31,256775.89536062,98510.025098667,6878.06223109015,0,8181.64464380019,12970.2611324732,2620.52867592299,59502.7879241626,0,0.0,0,0,0,0,0,20223.7232029707,243100771.061181,2022
2040-08-31,256771.322549889,98978.7598527718,6905.9546396735,0,8170.76078588758,5099.54695940393,2614.47193536459,59792.120842906,0,0.0,0,0,0,0,0,21476.0380892537,241933304.017563,2022
2040-09-30,257971.564589017,99625.644187289,6937.48356692456,0,8159.85598842839,18363.3862672903,2608.4166166537,60121.6576085408,0,0.0,0,0,0,0,0,19501.3403905208,241330758.529404,2022
2040-10-31,257805.330750784,99336.4603015911,7041.78060498867,0,8148.90217202592,14387.6303979904,2605.07531078652,60463.7419631831,0,0.0,0,0,0,0,0,20300.1423884076,240160019.368028,2022
2040-11-30,258841.779058043,100069.497774905,7239.89622880432,0,8137.92270853845,17291.9090616916,2612.20395370198,60852.1778009588,0,0.0,0,0,0,0,0,20035.0758671332,239689793.127498,2022
2040-12-31,260601.692844845,101936.317240624,7292.03839174667,0,8110.15791960859,21530.9338832327,2773.62243534042,60605.3864574655,0,0.0,0,0,0,0,0,19088.5975864002,239923621.114406,2022
2041-01-31,261211.446963086,102748.981856737,7334.04563832288,0,8099.18552312007,15796.1181317924,2751.23624170612,60963.0864842986,0,0.0,0,0,0,0,0,20217.1914732728,239354125.953506,2022
2041-02-28,259826.22815358,102348.655436777,7299.17418630895,0,8088.18484931572,5280.57287464354,2729.02715972485,61239.6956360444,0,0.0,0,0,0,0,0,21778.5892148933,237898936.301809,2022
2041-03-31,259803.92084461,102228.725173122,7321.52608270741,0,8062.98093963675,13437.1562759173,2725.03568397095,61568.1459998333,0,0.0,0,0,0,0,0,20261.7964052241,236862794.219221,2022
2041-04-30,259518.507308438,102152.535845427,7373.55825326265,0,8051.95032549488,11544.159887607,2720.35053845684,61907.2615352068,0,0.0,0,0,0,0,0,20712.2628985493,235943592.226295,2022
2041-05-31,258298.068727179,101786.664446911,7308.22423469021,0,8040.89349131553,1403.00590694877,2698.34699101384,62187.6160477232,0,0.0,0,0,0,0,0,22319.8662647584,234351493.445027,2022
2041-06-30,256515.420661457,101399.217752174,7346.48840100949,0,8000.87747692602,4258.34520245134,2676.52734970698,61794.7784780588,0,0.0,0,0,0,0,0,21408.7748514188,232690109.66287,2022
2041-07-31,255907.718726898,101564.43054014,6714.76684259787,0,7974.77385398303,11977.4861018417,2661.16580201208,62048.326436638,0,0.0,0,0,0,0,0,20492.0272329329,230942681.864059,2022
2041-08-31,254192.893816777,102045.274245162,6754.33387594817,0,7931.64881229354,4122.24662163581,2655.22053218451,61564.7769417681,0,0.0,0,0,0,0,0,21602.7464408382,229615868.596808,2022
2041-09-30,254364.144459415,102695.489690533,6796.10757517679,0,7878.47154464543,17128.4111260617,2648.51921744033,60783.0898744931,0,0.0,0,0,0,0,0,19453.6028380852,228730826.160807,2022
2041-10-31,252903.205824824,102411.052791852,6922.33820097844,0,7825.50305634817,13757.3214693269,2644.71092890181,59899.8316288128,0,0.0,0,0,0,0,0,20037.8813221317,227311027.017187,2022
2041-11-30,253989.137544516,103167.314295818,7160.37992011258,0,7814.66650126432,18145.3564407422,2651.87282184071,60312.465392989,0,0.0,0,0,0,0,0,19484.4973390208,226883209.363336,2022
2041-12-31,255261.484349104,105175.220979799,7228.99912232315,0,7778.15467413723,19855.4113393613,2819.8292095864,59779.6465639473,0,0.0,0,0,0,0,0,18882.612615537,226858870.969614,2022
2042-01-31,255939.179060899,106011.967013457,7267.11719907166,0,7767.25694025286,14496.0342006866,2796.83583764687,60176.9638637355,0,0.0,0,0,0,0,0,19954.9776454332,226329750.071706,2022
2042-02-28,254587.852324627,105594.468196382,7235.63538948097,0,7756.32605790224,4978.31490291198,2774.02551193721,60485.801987573,0,0.0,0,0,0,0,0,21427.5315584469,224955046.361431,2022
2042-03-31,254782.472171085,105649.508507052,7266.53262106839,0,7745.41035142026,12164.9306335158,2768.90506323691,60844.3482411781,0,0.0,0,0,0,0,0,20050.3433232881,223985127.741105,2022
2042-04-30,252854.34149965,105554.961908762,7337.65974386564,0,7707.17074009203,10938.7855229439,2763.48195382516,59860.3495845159,0,0.0,0,0,0,0,0,20182.8477682204,222865891.347058,2022
2042-05-31,251674.381085967,105145.276759956,7271.97768402628,0,7696.2664399413,1031.31060976389,2740.89505763911,60139.9414199122,0,0.0,0,0,0,0,0,21835.8435054492,221356931.896287,2022
2042-06-30,250462.074549946,104723.427257641,7320.1163540706,0,7685.36450313081,3686.78104969371,2718.4994715886,60407.4715931994,0,0.0,0,0,0,0,0,20986.601640256,219970491.948125,2022
2042-07-31,250347.88347147,104902.672591426,7269.68552796148,0,7641.50110901535,10994.1822544271,2702.71703636905,60375.5511685794,0,0.0,0,0,0,0,0,20080.4591058992,218857746.906907,2022
2042-08-31,250272.754395316,105411.832551381,7316.47474165479,0,7630.60623375312,3232.69413361942,2696.87974035452,60676.9668095697,0,0.0,0,0,0,0,0,21398.4253188314,217789159.578658,2022
2042-09-30,251471.534322024,106027.08618708,7363.53429563654,0,7619.69271983321,15985.1801415231,2689.72033496856,61028.3438837019,0,0.0,0,0,0,0,0,19313.7584529422,217232378.824368,2022
2042-10-31,251094.803822547,105720.603050569,7457.48826289128,0,7596.05523565046,13018.7817908982,2685.40291075086,61365.3088180471,0,0.0,0,0,0,0,0,19976.2890757828,216060774.538562,2022
2042-11-30,251686.479964983,106545.196411895,6464.31851656,0,7558.72228846156,16640.0677773674,2692.57248922131,61848.6163350325,0,0.0,0,0,0,0,0,19549.5054322922,213846430.48849,2022
2042-12-31,253993.255222323,108683.166349224,6551.8403343064,0,7547.728318859,18272.2516625904,2865.97219376557,62332.5775519459,0,0.0,0,0,0,0,0,19070.3381716735,214307599.234103,2022
2043-01-31,254701.632854578,109543.023471558,6597.85096022596,0,7536.69360273791,13179.877936837,2842.31395032836,62756.5839667207,0,0.0,0,0,0,0,0,20101.9504237561,213815473.452208,2022
2043-02-28,253345.413150259,109116.873992301,6575.95726332451,0,7525.62286039957,4620.78474498439,2818.85416919116,63084.721753921,0,0.0,0,0,0,0,0,21473.0352695237,212516775.028221,2022
2043-03-31,253337.417352497,109166.476223233,6457.71968120844,0,7509.98942046084,10930.5836342414,2812.88900878463,63457.1229706149,0,0.0,0,0,0,0,0,20204.9175730017,211502350.023463,2022
