"Month","Total_Premiums","Total_Recoveries","Total_FinReIncomeCF","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
270,0,832115.55528587,0,6490567.10379524,832115.55528587,-6490567.10379524
271,0,832578.234287463,0,6488319.62676365,832578.234287463,-6488319.62676365
272,0,831207.858566382,0,6459423.6403372,831207.858566382,-6459423.6403372
273,0,828700.66316159,0,6442688.36650753,828700.66316159,-6442688.36650753
274,0,829935.085870492,0,6431049.18800984,829935.085870492,-6431049.18800984
275,0,831229.753881797,0,6420406.75130477,831229.753881797,-6420406.75130477
276,0,829230.824122062,0,6407297.78540142,829230.824122062,-6407297.78540142
277,0,830092.9426472,0,6400565.96663537,830092.9426472,-6400565.96663537
278,0,827080.336585068,0,6381961.46127227,827080.336585068,-6381961.46127227
279,0,827673.781765463,0,6365553.88082423,827673.781765463,-6365553.88082423
280,0,824158.353884004,0,6356341.27514906,824158.353884004,-6356341.27514906
281,0,822953.571147708,0,6349099.6040909,822953.571147708,-6349099.6040909
282,0,820862.177363954,0,6333622.8501057,820862.177363954,-6333622.8501057
283,0,819435.420694595,0,6330871.7554505,819435.420694595,-6330871.7554505
284,0,815520.414142451,0,6303159.10749276,815520.414142451,-6303159.10749276
285,0,811528.025359423,0,6281255.09380396,811528.025359423,-6281255.09380396
286,0,811177.201846852,0,6268001.88578023,811177.201846852,-6268001.88578023
287,0,812715.46079593,0,6255885.6739854,812715.46079593,-6255885.6739854
288,0,813890.369070198,0,6243336.09776013,813890.369070198,-6243336.09776013
289,0,815057.977051472,0,6235196.72496308,815057.977051472,-6235196.72496308
290,0,810787.934980335,0,6214850.25618665,810787.934980335,-6214850.25618665
291,0,810947.343665795,0,6200698.58510523,810947.343665795,-6200698.58510523
292,0,811509.510598685,0,6189199.18861804,811509.510598685,-6189199.18861804
293,0,811310.484056855,0,6184903.33258869,811310.484056855,-6184903.33258869
294,0,811657.033173523,0,6182840.06820224,811657.033173523,-6182840.06820224
295,0,809040.459161273,0,6177560.41611413,809040.459161273,-6177560.41611413
296,0,806281.70714254,0,6151726.66758163,806281.70714254,-6151726.66758163
297,0,804508.235734254,0,6133549.17086192,804508.235734254,-6133549.17086192
298,0,805034.475889818,0,6122048.67248639,805034.475889818,-6122048.67248639
299,0,804974.853840879,0,6107917.95090239,804974.853840879,-6107917.95090239
300,0,803316.719509253,0,6097551.22571162,803316.719509253,-6097551.22571162
301,0,804974.207210599,0,6083910.88489862,804974.207210599,-6083910.88489862
302,0,801751.356124643,0,6069061.44464046,801751.356124643,-6069061.44464046
303,0,802699.025811878,0,6058304.96837847,802699.025811878,-6058304.96837847
304,0,802209.084217594,0,6047431.63300487,802209.084217594,-6047431.63300487
305,0,803819.44201796,0,6042834.02917803,803819.44201796,-6042834.02917803
306,0,799227.131101778,0,6037520.36423487,799227.131101778,-6037520.36423487
307,0,793628.686953876,0,6030573.44638223,793628.686953876,-6030573.44638223
308,0,790955.546847914,0,6002556.65926536,790955.546847914,-6002556.65926536
309,0,790136.737171477,0,5984696.35544358,790136.737171477,-5984696.35544358
310,0,790891.493274416,0,5975693.04042838,790891.493274416,-5975693.04042838
311,0,792089.418111256,0,5964978.64658455,792089.418111256,-5964978.64658455
312,0,790133.748903598,0,5951790.6641824,790133.748903598,-5951790.6641824
313,0,786530.620122156,0,5938867.67751688,786530.620122156,-5938867.67751688
314,0,784870.314125218,0,5923491.46045761,784870.314125218,-5923491.46045761
315,0,785278.403314049,0,5911029.80687456,785278.403314049,-5911029.80687456
316,0,783586.383600851,0,5898312.4296065,783586.383600851,-5898312.4296065
