"Month","Total_Premiums","Total_Acq","Total_Ren","Total_Claims","Total_Commission"
375,21521522.0844863,0,-6069.73357404816,12085073.5255668,-6069.73357404816
376,21441574.8938449,0,-5397.31754283177,12063731.6304389,-5397.31754283177
377,21396883.9859431,0,-36609.9717107842,12059180.1232403,-36609.9717107842
378,21356598.0843402,0,-68384.6489316457,12081702.8871892,-68384.6489316457
379,21298281.5131726,0,-73060.8510085308,12081119.3856453,-73060.8510085308
380,21192039.8504245,0,15267.6167686381,12035817.0233186,15267.6167686381
381,21111552.0005105,0,-55869.2643999837,12019363.5735397,-55869.2643999837
382,21044234.1954472,0,64327.1505418432,12007511.8007374,64327.1505418432
383,20988158.1957085,0,41210.283537436,11996469.9104082,41210.283537436
384,20939995.7116145,0,34845.3838404138,11997186.0928134,34845.3838404138
385,20879566.5838116,0,19560.829787939,11973931.3111207,19560.829787939
386,20822169.0935525,0,-100702.733656738,11962248.4535118,-100702.733656738
387,20758964.9167637,0,-17811.1636497476,11948357.1829115,-17811.1636497476
388,20696561.1155132,0,-66347.3305583323,11941844.4650081,-66347.3305583323
389,20660094.8285824,0,-110499.865575335,11951265.2468996,-110499.865575335
390,20615844.5779753,0,-127752.054132647,11965756.682647,-127752.054132647
