2 Yield Curve and Inflation Rates - 30Jun17 - SAM CPR RiskFree rates;;;
!2;TIME;RFR_PC;RY_PC
*;529;13.9128287142146;3.489742755
*;530;13.9128287142146;3.489742756
*;531;13.9128287142146;3.489742757
*;532;13.9128287142146;3.489742758
*;533;13.9128287142146;3.489742759
*;534;13.9128287142146;3.489742760
*;535;13.9128287142146;3.489742761
*;536;13.9128287142146;3.489742762
*;537;13.9128287142146;3.489742763
*;538;13.9128287142146;3.489742764
*;539;13.9128287142146;3.489742765
*;540;13.9128287142146;3.489742766
*;541;13.9128287142146;3.489742767
*;542;13.9128287142146;3.489742768
*;543;13.9128287142146;3.489742769
*;544;13.9128287142146;3.489742770
*;545;13.9128287142146;3.489742771
*;546;13.9128287142146;3.489742772
*;547;13.9128287142146;3.489742773
*;548;13.9128287142146;3.489742774
*;549;13.9128287142146;3.489742775
*;550;13.9128287142146;3.489742776
*;551;13.9128287142146;3.489742777
*;552;13.9128287142146;3.489742778
*;553;13.9128287142146;3.489742779
*;554;13.9128287142146;3.489742780
*;555;13.9128287142146;3.489742781
*;556;13.9128287142146;3.489742782
*;557;13.9128287142146;3.489742783
*;558;13.9128287142146;3.489742784
*;559;13.9128287142146;3.489742785
*;560;13.9128287142146;3.489742786
*;561;13.9128287142146;3.489742787
*;562;13.9128287142146;3.489742788
*;563;13.9128287142146;3.489742789
*;564;13.9128287142146;3.489742790
*;565;13.9128287142146;3.489742791
*;566;13.9128287142146;3.489742792
*;567;13.9128287142146;3.489742793
*;568;13.9128287142146;3.489742794
*;569;13.9128287142146;3.489742795
*;570;13.9128287142146;3.489742796
*;571;13.9128287142146;3.489742797
*;572;13.9128287142146;3.489742798
*;573;13.9128287142146;3.489742799
*;574;13.9128287142146;3.489742800
*;575;13.9128287142146;3.489742801
*;576;13.9128287142146;3.489742802
*;577;13.9128287142146;3.489742803
*;578;13.9128287142146;3.489742804
*;579;13.9128287142146;3.489742805
*;580;13.9128287142146;3.489742806
*;581;13.9128287142146;3.489742807
*;582;13.9128287142146;3.489742808
*;583;13.9128287142146;3.489742809
*;584;13.9128287142146;3.489742810
*;585;13.9128287142146;3.489742811
*;586;13.9128287142146;3.489742812
*;587;13.9128287142146;3.489742813
*;588;13.9128287142146;3.489742814
*;589;13.9128287142146;3.489742815
*;590;13.9128287142146;3.489742816
*;591;13.9128287142146;3.489742817
*;592;13.9128287142146;3.489742818
*;593;13.9128287142146;3.489742819
*;594;13.9128287142146;3.489742820
*;595;13.9128287142146;3.489742821
*;596;13.9128287142146;3.489742822
*;597;13.9128287142146;3.489742823
*;598;13.9128287142146;3.489742824
*;599;13.9128287142146;3.489742825
*;600;13.9128287142146;3.489742826
*;601;13.9128287142146;3.489742827
*;602;13.9128287142146;3.489742828
*;603;13.9128287142146;3.489742829
*;604;13.9128287142146;3.489742830
*;605;13.9128287142146;3.489742831
*;606;13.9128287142146;3.489742832
*;607;13.9128287142146;3.489742833
*;608;13.9128287142146;3.489742834
*;609;13.9128287142146;3.489742835
*;610;13.9128287142146;3.489742836
