!2;TIME;RFR_PC;RY_PC
*;649;10.99066248;4.288126835
*;650;10.98638933;4.285679509
*;651;10.98211635;4.28323224
*;652;10.97784354;4.280785028
*;653;10.97357089;4.278337874
*;654;10.9692984;4.275890778
*;655;10.96502608;4.273443738
*;656;10.96075392;4.270996756
*;657;10.95648193;4.268549832
*;658;10.9522101;4.266102965
*;659;10.94793844;4.263656156
*;660;10.94366694;4.261209403
*;661;10.93939561;4.258762709
*;662;10.93512444;4.256316071
*;663;10.93085343;4.253869491
*;664;10.92658259;4.251422969
*;665;10.92231191;4.248976504
*;666;10.9180414;4.246530096
*;667;10.91377105;4.244083746
*;668;10.90950087;4.241637453
*;669;10.90523085;4.239191218
*;670;10.90096099;4.23674504
*;671;10.8966913;4.234298919
*;672;10.89242177;4.231852856
*;673;10.88815241;4.22940685
*;674;10.88388322;4.226960901
*;675;10.87961418;4.22451501
*;676;10.87534531;4.222069177
*;677;10.87107661;4.219623401
*;678;10.86680807;4.217177682
*;679;10.86253969;4.21473202
*;680;10.85827148;4.212286416
*;681;10.85400343;4.20984087
*;682;10.84973555;4.20739538
*;683;10.84546783;4.204949948
*;684;10.84120028;4.202504574
*;685;10.83693289;4.200059257
*;686;10.83266566;4.197613997
*;687;10.8283986;4.195168795
*;688;10.82413171;4.19272365
*;689;10.81986497;4.190278562
*;690;10.8155984;4.187833532
*;691;10.811332;4.185388559
*;692;10.80706576;4.182943644
*;693;10.80279968;4.180498786
*;694;10.79853377;4.178053985
*;695;10.79426803;4.175609242
*;696;10.79000244;4.173164556
*;697;10.78573702;4.170719927
*;698;10.78147177;4.168275356
*;699;10.77720668;4.165830842
*;700;10.77294175;4.163386385
*;701;10.76867699;4.160941986
*;702;10.76441239;4.158497645
*;703;10.76014796;4.15605336
*;704;10.75588369;4.153609133
*;705;10.75161959;4.151164963
*;706;10.74735565;4.148720851
*;707;10.74309187;4.146276796
*;708;10.73882826;4.143832798
*;709;10.73456481;4.141388858
*;710;10.73030152;4.138944975
*;711;10.7260384;4.13650115
